,FB,FB,FB,FB,FB,SNAP,SNAP,SNAP,SNAP,SNAP,TWTR,TWTR,TWTR,TWTR,TWTR,PINS,PINS,PINS,PINS,PINS
,c,h,l,o,v,c,h,l,o,v,c,h,l,o,v,c,h,l,o,v
t,,,,,,,,,,,,,,,,,,,,
1592784000,239.2200012207,240.69999694824,236.91000366211,238.55999755859,18917782,23.200000762939,23.60000038147,22.709999084473,22.840000152588,25602800,33.470001220703,33.639999389648,32.950000762939,33.569999694824,12856698,23.950000762939,24.159999847412,23.290000915527,23.420000076294,14628525
1592870400,242.24000549316,245.19000244141,239.86000061035,241.2799987793,24017916,23.670000076294,23.915000915527,23.079999923706,23.459999084473,26476200,32.909999847412,33.799999237061,32.730098724365,33.75,20424464,24.069999694824,24.290000915527,23.569999694824,24.0,14326807
1592956800,234.02000427246,243.2200012207,232.67999267578,241.19999694824,20834904,23.629999160767,23.940000534058,22.879999160767,23.510000228882,26026554,31.729999542236,33.049999237061,31.340000152588,32.639999389648,16586771,23.170000076294,24.170000076294,22.360000610352,23.829999923706,12039966
1593043200,235.67999267578,237.30000305176,232.74000549316,234.61999511719,18704340,24.479999542236,24.5,23.450000762939,23.510000228882,25886300,31.370000839233,31.60000038147,30.829999923706,31.520000457764,17802556,22.579999923706,23.440000534058,22.370000839233,22.930000305176,12023100
1593129600,216.08000183105,233.08999633789,215.39999389648,232.63999938965,76343936,23.069999694824,24.89999961853,23.049999237061,24.840000152588,34806300,29.049999237061,31.319999694824,28.75,31.120000839233,56913648,21.610000610352,23.739999771118,21.25,22.690000534058,45955820
1593388800,220.63999938965,220.75,207.11000061035,209.75,58514280,23.090000152588,23.200000762939,22.030000686646,22.860000610352,29129100,29.489999771118,30.034999847412,28.229999542236,28.510000228882,27350292,22.040000915527,22.079999923706,20.069999694824,20.950000762939,14328855
1593475200,227.07000732422,227.5,218.4700012207,220.58999633789,33927068,23.489999771118,23.667499542236,22.680000305176,23.059999465942,21336600,29.790000915527,29.819999694824,29.020000457764,29.60000038147,20647988,22.170000076294,22.260000228882,21.459999084473,22.040000915527,8253588
1593561600,237.55000305176,239.0,227.55999755859,228.5,43399740,23.719999313354,24.209999084473,23.590000152588,23.639999389648,21733776,30.809999465942,31.170000076294,30.059999465942,30.14999961853,20778996,23.280000686646,23.590000152588,22.489999771118,22.489999771118,15591295
1593648000,233.41999816895,240.0,232.61000061035,239.0,30633620,23.219999313354,24.120000839233,23.104999542236,24.010000228882,18493900,30.870000839233,31.39999961853,30.395000457764,31.299999237061,14553748,24.110000610352,24.549999237061,23.780000686646,23.950000762939,18224288
1593993600,240.2799987793,240.39999389648,232.27000427246,233.75999450684,26206158,23.420000076294,23.969999313354,23.360000610352,23.510000228882,18545800,32.340000152588,32.810001373291,31.159999847412,31.530000686646,22399972,25.819999694824,26.059999465942,24.360000610352,24.60000038147,21918188
1594080000,240.86000061035,247.64999389648,238.82000732422,239.41000366211,27887786,24.809999465942,25.579999923706,23.549999237061,23.729999542236,41802600,32.990001678467,33.669998168945,31.764999389648,31.959999084473,27940880,25.85000038147,26.299999237061,25.340000152588,25.579999923706,12016736
1594166400,243.58000183105,246.99000549316,236.58999633789,238.11000061035,29791340,26.409999847412,26.5,25.139999389648,25.280000686646,39464600,35.409999847412,36.970001220703,32.75,33.169998168945,109654664,27.0,27.0,26.0,26.0,16272838
1594252800,244.5,246.5299987793,239.24000549316,245.0,22174896,25.940000534058,26.760000228882,25.25,26.049999237061,21641200,35.720001220703,36.180000305176,34.819999694824,35.869998931885,34648752,27.420000076294,27.780000686646,26.770000457764,27.370000839233,13994586
1594339200,245.07000732422,245.49000549316,239.32000732422,243.69000244141,22982716,25.530000686646,25.930000305176,24.909999847412,25.920000076294,23809100,35.400001525879,35.759998321533,34.860000610352,35.459999084473,15238716,26.559999465942,27.35000038147,26.094999313354,27.319999694824,12810583
1594598400,239.0,250.14999389648,238.41999816895,247.0,24674874,24.270000457764,26.270000457764,24.229999542236,25.829999923706,21231332,33.819999694824,36.209999084473,33.779998779297,35.799999237061,22480572,24.770000457764,27.200000762939,24.729999542236,26.909999847412,11553453
1594684800,239.72999572754,240.33000183105,232.0299987793,236.75999450684,23378056,23.739999771118,24.270000457764,23.030000686646,24.0,30313368,34.380001068115,34.650001525879,33.470001220703,33.529998779297,18533248,24.739999771118,25.010000228882,23.770000457764,24.64999961853,14933719
1594771200,240.2799987793,244.82000732422,238.05000305176,241.55000305176,19133562,24.540000915527,24.639999389648,23.700000762939,24.170000076294,24478516,35.669998168945,35.799999237061,34.620700836182,35.119998931885,14070976,24.620000839233,25.700000762939,24.190000534058,25.14999961853,10930714
1594857600,240.92999267578,241.75999450684,236.33000183105,238.0,18880704,23.89999961853,24.409999847412,23.440000534058,24.180000305176,20179592,35.279998779297,35.569999694824,34.049999237061,34.060001373291,24353300,24.64999961853,24.739999771118,24.040000915527,24.379999160767,8761211
1594944000,242.0299987793,244.16000366211,237.86000061035,241.0,18152412,24.540000915527,24.680000305176,23.790000915527,23.940000534058,17438900,35.810001373291,35.999000549316,34.729999542236,35.310001373291,18571112,24.930000305176,25.0,24.409999847412,25.0,7537544
